Index,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,Alt,Temp
425,-0.463600,0.050752,0.879376,61.200001,1.700000,21.400000,25,-21,5,55.187500,"33.000000
"
426,-0.474336,0.048800,0.877424,59.599998,1.900000,23.100000,18,5,12,55.187500,"33.000000
"
427,-0.445544,0.057584,0.894504,61.099998,2.100000,20.200001,68,-258,7,55.187500,"33.000000
"
428,-0.364536,0.071248,0.923296,59.099998,1.100000,22.600000,46,-64,12,51.500000,"33.000000
"
429,-0.355752,0.073200,0.931104,55.599998,1.100000,22.400000,42,-69,10,51.500000,"33.000000
"
430,-0.347944,0.081496,0.934520,54.900002,-0.100000,21.799999,-14,174,-3,51.500000,"33.937500
"
431,-0.462136,0.052704,0.882304,59.500000,1.600000,20.000000,24,16,-1,53.750000,"33.937500
"
432,-0.464576,0.053680,0.879376,59.700001,1.200000,20.700001,18,-57,-2,53.750000,"33.937500
"
433,-0.461648,0.054656,0.882304,59.599998,0.900000,20.000000,12,9,-7,53.750000,"33.937500
"
434,-0.460672,0.052704,0.881328,60.900002,2.200000,20.200001,37,-31,7,52.000000,"33.000000
"
435,-0.466528,0.053680,0.881328,61.200001,1.700000,19.900000,2,72,-7,52.000000,"33.937500
"
436,-0.470920,0.053680,0.878888,60.400002,2.600000,19.000000,1,17,-2,52.000000,"33.937500
"
437,-0.476776,0.035624,0.865712,60.500000,1.200000,22.200001,46,-244,5,53.312500,"33.000000
"
438,-0.378688,0.071248,0.944768,56.500000,0.500000,21.400000,44,-66,7,53.312500,"33.000000
"
439,-0.380640,0.064416,0.923296,57.099998,0.900000,24.000000,-13,193,-7,53.312500,"33.937500
"
440,-0.465064,0.057584,0.884256,61.099998,1.400000,20.299999,29,-46,-3,55.250000,"33.937500
"
441,-0.459208,0.053680,0.883280,60.799999,1.700000,21.100000,21,-82,-7,55.250000,"33.937500
"
442,-0.455792,0.051728,0.884256,60.400002,1.400000,22.000000,12,6,2,55.250000,"33.000000
"
443,-0.459696,0.049776,0.881328,59.400002,2.500000,21.400000,28,35,-8,54.687500,"33.937500
"
444,-0.461648,0.049776,0.884256,61.099998,2.000000,23.000000,25,4,3,54.687500,"33.000000
"
445,-0.468480,0.046848,0.877424,61.099998,1.000000,20.100000,28,23,-3,54.687500,"33.937500
"
446,-0.411872,0.061000,0.911096,58.599998,1.100000,21.799999,103,-264,13,58.875000,"32.000000
"
447,-0.373808,0.077104,0.881328,58.000000,-0.400000,22.000000,113,-666,37,58.875000,"32.000000
"
448,-0.356728,0.072224,0.929152,56.200001,2.500000,22.299999,-48,406,-33,58.875000,"32.937500
"
449,-0.465064,0.054656,0.884256,59.900002,2.000000,20.700001,37,-51,8,53.437500,"33.000000
"
450,-0.470432,0.049776,0.877424,61.099998,1.900000,21.900000,24,-48,-8,53.437500,"33.937500
"
451,-0.463600,0.058072,0.881328,59.799999,1.900000,20.900000,12,32,11,53.437500,"33.000000
"
452,-0.467504,0.051728,0.882304,60.299999,1.800000,22.600000,44,4,4,51.875000,"33.000000
"
453,-0.525088,0.052704,0.854000,63.500000,2.100000,21.700001,-25,329,-8,51.875000,"33.937500
"
454,-0.558272,0.043920,0.826184,64.699997,1.000000,21.900000,20,-43,5,51.875000,"33.000000
"
455,-0.552416,0.045872,0.836432,65.500000,1.500000,20.500000,32,8,7,50.437500,"33.000000
"
456,-0.513376,0.056608,0.856928,63.700001,1.900000,20.900000,80,-243,6,50.437500,"33.000000
"
457,-0.500688,0.057584,0.853024,59.700001,-0.600000,19.900000,64,-298,0,50.437500,"33.000000
"
458,-0.415288,0.076128,0.904752,55.299999,-5.300000,21.200001,8,-13,1,52.125000,"33.000000
"
459,-0.404064,0.073200,0.903776,56.599998,-4.000000,21.400000,-9,-27,16,52.125000,"33.000000
"
460,-0.384544,0.070272,0.914024,54.500000,-4.400000,20.500000,13,-14,8,52.125000,"33.000000
"
461,-0.389912,0.065392,0.910608,56.299999,-4.800000,20.799999,6,168,-20,52.062500,"33.937500
"
462,-0.471896,0.052704,0.882304,58.500000,-4.700000,23.400000,-22,256,-13,52.062500,"33.937500
"
463,-0.522648,0.038552,0.850584,58.799999,-3.600000,19.299999,18,27,3,52.062500,"33.000000
"
464,-0.517280,0.042944,0.850584,60.099998,-4.400000,19.700001,48,-38,1,51.312500,"33.000000
"
465,-0.510936,0.043432,0.860832,60.000000,-1.900000,17.200001,32,-8,-15,51.312500,"33.937500
"
466,-0.517280,0.041968,0.855952,60.599998,-3.500000,18.000000,31,12,8,51.312500,"33.000000
"
467,-0.518744,0.045872,0.854976,59.200001,-3.900000,18.299999,27,-20,-4,51.312500,"33.937500
"
468,-0.513376,0.041480,0.851072,58.299999,-3.300000,20.100000,29,4,-1,51.750000,"33.937500
"
469,-0.515816,0.041968,0.854000,61.000000,-3.500000,19.299999,13,-15,2,51.750000,"33.000000
"
470,-0.531920,0.042944,0.848632,60.700001,-3.000000,20.100000,-6,170,2,51.750000,"33.000000
"
471,-0.514352,0.042944,0.854000,61.599998,-3.600000,17.799999,15,-3,5,56.312500,"33.000000
"
472,-0.518256,0.040992,0.854000,60.500000,-2.800000,19.900000,18,-14,4,56.312500,"33.000000
"
473,-0.521672,0.041480,0.852048,60.799999,-3.000000,20.100000,20,-37,-1,56.312500,"33.937500
"
474,-0.515816,0.041480,0.862784,60.200001,-4.000000,19.100000,26,-8,3,54.125000,"33.000000
"
475,-0.513864,0.041968,0.854976,62.099998,-1.900000,17.299999,48,-10,-1,54.125000,"33.937500
"
476,-0.513376,0.049776,0.858880,60.500000,-3.300000,19.799999,16,-18,-10,54.125000,"33.937500
"
477,-0.508984,0.040504,0.857904,61.200001,-4.300000,18.799999,26,-19,-5,52.937500,"33.937500
"
478,-0.513376,0.043920,0.856928,60.799999,-3.700000,17.600000,26,-11,1,52.937500,"33.000000
"
479,-0.511424,0.041480,0.856928,59.700001,-3.700000,18.500000,5,-11,-2,52.937500,"33.937500
"
480,-0.505568,0.046848,0.853024,60.299999,-2.600000,17.700001,22,7,-5,53.000000,"33.937500
"
481,-0.521672,0.041968,0.853024,59.900002,-4.900000,19.200001,30,20,4,53.000000,"33.000000
"
482,-0.518256,0.040016,0.859856,60.799999,-2.800000,17.200001,2,-14,11,53.000000,"33.000000
"
483,-0.515816,0.045872,0.857904,61.400002,-2.800000,18.299999,58,-43,5,53.375000,"33.000000
"
484,-0.512400,0.041480,0.854000,61.700001,-3.700000,20.100000,16,11,-3,53.375000,"33.937500
"
485,-0.508984,0.043920,0.854976,60.900002,-3.100000,17.200001,29,-15,1,53.375000,"33.000000
"
486,-0.520208,0.044896,0.855952,60.799999,-3.100000,20.299999,16,-8,10,53.750000,"33.000000
"
487,-0.522160,0.040504,0.854976,60.799999,-3.600000,18.799999,13,-13,7,53.750000,"33.000000
"
488,-0.521184,0.042944,0.854976,60.700001,-2.500000,17.799999,15,-26,10,53.750000,"33.000000
"
489,-0.521184,0.041480,0.851560,60.299999,-2.400000,19.200001,23,2,-11,51.687500,"33.937500
"
490,-0.519720,0.048800,0.861808,61.000000,-2.300000,19.299999,24,-7,6,51.687500,"33.000000
"
491,-0.522648,0.041968,0.850584,63.000000,-4.900000,19.700001,34,-11,-1,51.687500,"33.937500
"
492,-0.523624,0.045872,0.851072,60.000000,-3.400000,21.200001,31,-143,6,54.125000,"33.000000
"
493,-0.516792,0.042944,0.876448,60.799999,-4.200000,21.000000,11,146,38,54.125000,"33.000000
"
494,-0.490440,0.063440,0.867664,58.599998,-3.500000,19.400000,59,-171,9,54.125000,"33.000000
"
495,-0.442128,0.066368,0.893528,58.099998,-7.100000,22.000000,38,-11,0,51.500000,"33.000000
"
496,-0.507032,0.052704,0.863760,59.400002,-4.600000,19.900000,19,3,3,51.500000,"33.000000
"
497,-0.511424,0.049776,0.859856,60.299999,-4.300000,17.900000,37,17,-8,51.500000,"33.937500
"
498,-0.518256,0.043920,0.848632,59.599998,-4.800000,20.100000,5,-21,0,55.000000,"33.000000
"
499,-0.521184,0.048800,0.857904,59.799999,-5.500000,20.100000,14,-8,-6,55.000000,"33.937500
"
500,-0.521184,0.049776,0.850096,59.799999,-2.600000,18.400000,27,14,9,55.000000,"33.000000
"
501,-0.529480,0.045872,0.851072,61.400002,-4.700000,19.100000,28,9,0,52.500000,"33.000000
"
502,-0.527528,0.041968,0.852048,59.900002,-5.200000,21.600000,6,0,-14,52.500000,"33.937500
"
503,-0.532408,0.044896,0.850584,61.900002,-3.700000,17.600000,21,-3,-4,52.500000,"33.937500
"
504,-0.532408,0.045872,0.850584,60.799999,-4.700000,18.500000,37,-16,-6,54.000000,"33.937500
"
505,-0.529968,0.042944,0.853024,60.700001,-4.000000,19.299999,20,2,0,54.000000,"33.000000
"
506,-0.540704,0.043920,0.846192,61.799999,-4.500000,21.700001,34,-4,15,54.000000,"33.000000
"
507,-0.530456,0.040016,0.847656,61.599998,-4.400000,19.900000,9,1,2,54.000000,"33.000000
"
508,-0.528504,0.040992,0.844240,62.099998,-4.700000,20.000000,20,50,4,53.500000,"33.000000
"
509,-0.532896,0.052704,0.838384,62.099998,-2.900000,18.200001,45,-50,8,53.500000,"33.000000
"
510,-0.532896,0.043920,0.848632,60.599998,-5.100000,17.900000,28,-11,12,53.500000,"33.000000
"
511,-0.530456,0.050752,0.851072,60.500000,-4.300000,17.799999,45,-33,-1,50.875000,"33.937500
"
512,-0.531920,0.046848,0.847656,61.000000,-3.500000,17.799999,15,63,-7,50.875000,"33.937500
"
513,-0.529480,0.051728,0.846192,60.599998,-4.500000,17.600000,30,-62,5,50.875000,"33.000000
"
514,-0.531432,0.046848,0.850584,61.900002,-4.000000,20.900000,37,-30,6,54.437500,"33.000000
"
515,-0.530944,0.043920,0.841800,61.099998,-3.400000,18.700001,39,-8,5,54.437500,"33.000000
"
516,-0.535336,0.043920,0.836432,61.400002,-3.500000,20.600000,35,-108,0,54.437500,"33.000000
"
517,-0.521184,0.044896,0.845704,61.700001,-5.900000,20.500000,31,-3,14,55.187500,"33.000000
"
518,-0.537288,0.038552,0.849608,61.099998,-3.600000,18.400000,40,-93,-8,55.187500,"33.937500
"
519,-0.532896,0.042944,0.854000,60.099998,-2.800000,20.100000,17,-58,11,55.187500,"33.000000
"
520,-0.530456,0.047824,0.852536,61.099998,-4.200000,20.299999,37,-19,3,54.937500,"33.000000
"
521,-0.537288,0.041968,0.841312,61.900002,-2.800000,20.600000,6,-17,-6,54.937500,"33.937500
"
522,-0.534360,0.047824,0.842288,60.500000,-3.000000,18.799999,24,-19,-1,54.937500,"33.937500
"
523,-0.530944,0.039040,0.840336,60.799999,-4.500000,19.299999,24,-16,-7,54.437500,"33.937500
"
524,-0.531432,0.050752,0.845704,60.799999,-3.900000,16.900000,26,-2,-2,54.437500,"33.937500
"
525,-0.534848,0.049776,0.848632,62.700001,-3.500000,16.500000,16,-6,-13,54.437500,"33.937500
"
526,-0.538752,0.047824,0.845216,59.299999,-5.500000,19.799999,28,-39,7,54.562500,"33.000000
"
527,-0.532408,0.047824,0.842288,61.099998,-4.800000,19.100000,31,11,-5,54.562500,"33.937500
"
528,-0.530456,0.045872,0.854976,60.599998,-4.500000,18.200001,18,17,-8,54.562500,"33.937500
"
529,-0.531920,0.041968,0.850584,61.200001,-3.300000,17.100000,11,53,13,54.125000,"33.000000
"
530,-0.536800,0.039528,0.839360,62.500000,-4.000000,20.500000,20,-18,7,54.125000,"33.000000
"
